"FID"	"OBJECTID"	"AmbulanceR"	"BikeAge_Gr"	"Bike_Age"	"Bike_Alc_D"	"Bike_Dir"	"Bike_Injur"	"Bike_Pos"	"Bike_Race"	"Bike_Sex"	"City"	"County"	"CrashAlcoh"	"CrashDay"	"Crash_Date"	"Crash_Grp"	"Crash_Hour"	"Crash_Loc"	"Crash_Mont"	"Crash_Time"	"Crash_Type"	"Crash_Ty_1"	"Crash_Year"	"Crsh_Sevri"	"Developmen"	"DrvrAge_Gr"	"Drvr_Age"	"Drvr_Alc_D"	"Drvr_EstSp"	"Drvr_Injur"	"Drvr_Race"	"Drvr_Sex"	"Drvr_VehTy"	"ExcsSpdInd"	"Hit_Run"	"Latitude"	"Light_Cond"	"Locality"	"Longitude"	"Num_Lanes"	"Num_Units"	"Rd_Charact"	"Rd_Class"	"Rd_Conditi"	"Rd_Config"	"Rd_Defects"	"Rd_Feature"	"Rd_Surface"	"Region"	"Rural_Urba"	"Speed_Limi"	"Traff_Cntr"	"Weather"	"Workzone_I"	"Location"
"1803"	802	803	"Yes"	NA	NA	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Female"	"Wilson"	"Wilson"	"No"	"Thursday"	"10/02/2008 12:00:00 AM"	"Crossing Paths - Other Circumstances"	20	"Intersection"	"October"	"20:40"	"Sign-Controlled Intersection - Other /"	111148	2008	"C: Possible Injury"	"Residential"	"50-59"	"57"	"No"	"21-25 mph"	"O: No Injury"	"Black"	"Male"	"Sport Utility"	"No"	"No"	0	"Dusk"	"Urban (>70% Developed)"	NA	"3 lanes"	2	"Straight - Hillcrest"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Urban"	"40 - 45  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1804"	803	804	"Yes"	"40-49"	"42"	"No"	"Facing Traffic"	"O: No Injury"	"Bike Lane / Paved Shoulder"	"Native American"	"Male"	"Pembroke"	"Robeson"	"No"	"Friday"	"10/24/2008 12:00:00 AM"	"Head-On"	20	"Intersection"	"October"	"20:45"	"Head-On - Bicyclist"	122250	2008	"O: No Injury"	"Commercial"	NA	NA	NA	NA	"Injury"	NA	NA	"Passenger Car"	"No"	"Yes"	0	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	NA	"4 lanes"	2	"Straight - Level"	"Local Street"	"Wet"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Coastal"	"Rural"	NA	"Stop Sign"	"Cloudy"	"No"	NA
"1805"	804	805	"Yes"	"25-29"	"25"	"No"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Female"	"Wilmington"	"New Hanover"	"No"	"Monday"	"10/13/2008 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	10	"Intersection"	"October"	"10:44"	"Motorist Drive Out - Sign-Controlled Intersection"	112141	2008	"C: Possible Injury"	"Commercial"	"60-69"	"61"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Coarse Asphalt"	"Coastal"	"Urban"	"40 - 45  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1806"	805	806	"Yes"	"40-49"	"45"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"Wilson"	"Wilson"	"No"	"Monday"	"05/26/2008 12:00:00 AM"	"Bicyclist Left Turn / Merge"	17	"Intersection"	"May"	"17:59"	"Bicyclist Left Turn - Same Direction"	111221	2008	"C: Possible Injury"	"Commercial"	"0-19"	"19"	"No"	"46-50 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"5 lanes"	2	"Straight - Hillcrest"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"40 - 45  MPH"	"Stop And Go Signal"	"Clear"	"No"	NA
"1807"	806	807	"Yes"	"40-49"	"48"	"No"	"With Traffic"	"O: No Injury"	"Travel Lane"	"White"	"Male"	"Wilson"	"Wilson"	"No"	"Tuesday"	"10/14/2008 12:00:00 AM"	"Motorist Right Turn / Merge"	18	"Intersection"	"October"	"18:52"	"Motorist Right Turn - Same Direction"	111213	2008	"O: No Injury"	"Residential"	"25-29"	"26"	"No"	"6-10 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	0	"Dark - Lighted Roadway"	"Mixed (30% To 70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1808"	807	808	"Yes"	"60-69"	"62"	"No"	"With Traffic"	"K: Killed"	"Travel Lane"	"White"	"Male"	"Wilmington"	"New Hanover"	"No"	"Thursday"	"10/16/2008 12:00:00 AM"	"Motorist Right Turn / Merge"	9	"Non-Intersection"	"October"	"9:22"	"Motorist Right Turn - Same Direction"	311213	2008	"K: Killed"	"Commercial"	"40-49"	"49"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	NA	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"40 - 45  MPH"	NA	"Clear"	"No"	NA
"1809"	808	809	"Yes"	"30-39"	"35"	"No"	"Not Applicable"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Fayetteville"	"Cumberland"	"No"	"Saturday"	"10/18/2008 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	13	"Non-Intersection"	"October"	"13:47"	"Bicyclist Ride Out - Midblock -"	313319	2008	"B: Evident Injury"	"Commercial"	"25-29"	"25"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Male"	"Pickup"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"7 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Related To Intersection"	"Smooth Asphalt"	"Coastal"	"Urban"	"50 - 55  MPH"	"Double Yellow Line, No Passing Zone"	"Cloudy"	"No"	NA
"1810"	809	810	"Yes"	"50-59"	"51"	"No"	"Facing Traffic"	"Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	NA	NA	"Fayetteville"	"Cumberland"	"No"	"Monday"	"10/20/2008 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	15	"Non-Intersection"	"October"	"15:05"	"Motorist Drive Out - Commercial Driveway / Alley"	332322	2008	"O: No Injury"	"Commercial"	"30-39"	"36"	"No"	"6-10 mph"	"O: No Injury"	"Black"	"Female"	"Pickup"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	NA	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	NA	"None"	"Driveway, Private"	"Coarse Asphalt"	"Coastal"	"Urban"	"5 - 15 MPH"	"No Control Present"	"Clear"	"No"	NA
"1811"	810	811	"Yes"	"16-19"	"17"	"No"	"Facing Traffic"	"C: Possible Injury"	"Bike Lane / Paved Shoulder"	"Black"	"Male"	"Mooresville"	"Iredell"	"No"	"Thursday"	"10/02/2008 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	16	"Intersection"	"October"	"16:50"	"Motorist Drive Out - Sign-Controlled Intersection"	122141	2008	"C: Possible Injury"	"Commercial"	"40-49"	"40"	"No"	NA	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Bottom"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1812"	811	812	"Yes"	"30-39"	"39"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Native American"	"Male"	"Chapel Hill"	"Orange"	"No"	"Wednesday"	"10/08/2008 12:00:00 AM"	"Parking / Bus-Related"	7	"Non-Intersection"	"October"	"7:56"	"Motorist Drive In / Out - Parking"	311215	2008	"B: Evident Injury"	"Institutional"	"30-39"	"36"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Sport Utility"	"No"	"No"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	NA	"Clear"	"No"	NA
"1813"	812	813	"No"	"60-69"	"64"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Shallotte"	"Brunswick"	"No"	"Monday"	"10/20/2008 12:00:00 AM"	"Motorist Right Turn / Merge"	15	"Non-Intersection"	"October"	"15:00"	"Motorist Right Turn - Same Direction"	311213	2008	"B: Evident Injury"	"Residential"	"40-49"	"47"	"No"	NA	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"3 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Rural"	NA	"No Control Present"	"Clear"	"No"	NA
"1814"	813	814	"Yes"	"16-19"	"18"	"No"	"Not Applicable"	"C: Possible Injury"	"Non-Roadway"	"Black"	"Male"	"Oxford"	"Granville"	"No"	"Tuesday"	"08/26/2008 12:00:00 AM"	"Non-Roadway"	17	"Non-Roadway"	"August"	"17:20"	"Non-Roadway"	460910	2008	"C: Possible Injury"	"Commercial"	"50-59"	"50"	"No"	"6-10 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	NA	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	"One-Way, Not Divided"	"None"	"Driveway, Public"	"Smooth Asphalt"	"Piedmont"	"Urban"	"5 - 15 MPH"	"No Control Present"	"Clear"	"No"	NA
"1815"	814	815	"No"	"20-24"	"23"	"No"	"With Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"White"	"Female"	"Raleigh"	"Wake"	"No"	"Sunday"	"08/24/2008 12:00:00 AM"	"Motorist Right Turn / Merge"	16	"Non-Intersection"	"August"	"16:34"	"Motorist Right Turn - Same Direction"	331213	2008	"C: Possible Injury"	"Commercial"	"0-19"	"19"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	NA
"1816"	815	816	"Yes"	"60-69"	"69"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Charlotte"	"Mecklenburg"	"No"	"Saturday"	"11/01/2008 12:00:00 AM"	"Loss of Control / Turning Error"	14	"Intersection"	"November"	"14:35"	"Motorist Turning Error - Left Turn"	111111	2008	"B: Evident Injury"	"Residential"	"0-19"	"17"	"No"	"21-25 mph"	"O: No Injury"	"White"	"Male"	"Sport Utility"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1817"	816	817	"Yes"	"30-39"	"39"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Raleigh"	"Wake"	"No"	"Monday"	"08/25/2008 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	11	"Non-Intersection"	"August"	"11:06"	"Motorist Drive Out - Commercial Driveway / Alley"	332322	2008	"C: Possible Injury"	"Commercial"	"40-49"	"46"	"No"	NA	"O: No Injury"	"White"	"Male"	"Sport Utility"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Driveway, Public"	"Smooth Asphalt"	"Piedmont"	"Urban"	"5 - 15 MPH"	NA	"Clear"	"No"	NA
"1818"	817	818	"No"	"16-19"	"16"	"No"	"Facing Traffic"	"B: Evident Injury"	"Bike Lane / Paved Shoulder"	"Black"	"Male"	"Raleigh"	"Wake"	"Yes"	"Monday"	"08/25/2008 12:00:00 AM"	"Head-On"	1	"Non-Intersection"	"August"	"1:44"	"Head-On - Bicyclist"	322250	2008	"B: Evident Injury"	"Commercial"	"30-39"	"34"	"Yes"	"56-60 mph"	"O: No Injury"	"Hispanic"	"Male"	"Pickup"	"Yes"	"No"	0	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	NA	"1 lane"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	NA
"1819"	818	819	"Yes"	"40-49"	"47"	"No"	"With Traffic"	"B: Evident Injury"	"Bike Lane / Paved Shoulder"	"White"	"Male"	"None - Rural Crash"	"Cumberland"	"No"	"Monday"	"09/29/2008 12:00:00 AM"	"Motorist Overtaking Bicyclist"	18	"Non-Intersection"	"September"	"18:02"	"Motorist Overtaking - Misjudged Space"	321232	2008	"B: Evident Injury"	"Residential"	"50-59"	"51"	"No"	"51-55 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"Yes"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	NA
"1820"	819	820	"Yes"	"30-39"	"37"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Asheboro"	"Randolph"	"No"	"Wednesday"	"10/08/2008 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	7	"Intersection"	"October"	"7:55"	"Motorist Drive Out - Sign-Controlled Intersection"	132141	2008	"C: Possible Injury"	"Commercial"	"30-39"	"39"	"No"	NA	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1821"	820	821	"Yes"	"40-49"	"47"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Female"	"Cary"	"Wake"	"No"	"Thursday"	"10/16/2008 12:00:00 AM"	"Other / Unusual Circumstances"	8	"Intersection"	"October"	"8:09"	"Unusual Circumstances"	111800	2008	"B: Evident Injury"	"Commercial"	"30-39"	"32"	"No"	"41-45 mph"	"C: Possible Injury"	"Black"	"Female"	"Sport Utility"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"4 lanes"	4	"Straight - Grade"	"NC Route"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"Stop And Go Signal"	"Clear"	"No"	NA
"1822"	821	822	"Yes"	"25-29"	"29"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Durham"	"Durham"	"No"	"Wednesday"	"10/29/2008 12:00:00 AM"	"Bicyclist Failed to Yield - Signalized Intersection"	17	"Intersection"	"October"	"17:17"	"Bicyclist Ride Through - Signalized Intersection"	111155	2008	"B: Evident Injury"	"Commercial"	"50-59"	"57"	"No"	"26-30 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	NA
"1823"	822	823	"Yes"	"15-Nov"	"13"	"No"	"Facing Traffic"	"A: Disabling Injury"	"Travel Lane"	"Black"	"Male"	"Durham"	"Durham"	"No"	"Sunday"	"11/02/2008 12:00:00 AM"	"Crossing Paths - Other Circumstances"	14	"Intersection"	"November"	"14:58"	"Sign-Controlled Intersection - Other /"	112148	2008	"A: Disabling Injury"	"Residential"	NA	NA	"No"	"31-35 mph"	"Injury"	NA	NA	"Passenger Car"	"Yes"	"Yes"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1824"	823	824	"Yes"	"50-59"	"51"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Female"	"Norwood"	"Stanly"	"No"	"Thursday"	"09/18/2008 12:00:00 AM"	"Bicyclist Failed to Yield - Sign-Controlled Intersection"	1	"Intersection"	"September"	"1:09"	"Bicyclist Ride Out - Sign-Controlled Intersection"	111142	2008	"B: Evident Injury"	"Residential"	"30-39"	"36"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Heavy Truck"	"No"	"No"	0	"Dark - Lighted Roadway"	"Mixed (30% To 70% Developed)"	NA	"3 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Coarse Asphalt"	"Piedmont"	"Rural"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1825"	824	825	"Yes"	"20-24"	"20"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Hispanic"	"Male"	"Morehead City"	"Carteret"	"No"	"Thursday"	"10/09/2008 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	10	"Intersection"	"October"	"10:59"	"Motorist Drive Out - Sign-Controlled Intersection"	132141	2008	"C: Possible Injury"	"Commercial"	"70+"	"70+"	"No"	"6-10 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"T-Intersection"	"Coarse Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1826"	825	826	"Yes"	"40-49"	"45"	"No"	"Facing Traffic"	"K: Killed"	"Travel Lane"	"White"	"Male"	"Rocky Mount"	"Nash"	"No"	"Tuesday"	"09/30/2008 12:00:00 AM"	"Head-On"	20	"Non-Intersection"	"September"	"20:08"	"Head-On - Bicyclist"	312250	2008	"K: Killed"	"Commercial"	"50-59"	"52"	"No"	"36-40 mph"	"O: No Injury"	"Hispanic"	"Male"	"Van"	"No"	"No"	0	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	NA	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Concrete"	"Coastal"	"Urban"	"40 - 45  MPH"	"Stop And Go Signal"	"Clear"	"No"	NA
"1827"	826	827	"No"	"50-59"	"53"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Eastover"	"Cumberland"	"No"	"Thursday"	"11/06/2008 12:00:00 AM"	"Bicyclist Left Turn / Merge"	17	"Non-Intersection"	"November"	"17:37"	"Bicyclist Left Turn - Same Direction"	311221	2008	"B: Evident Injury"	"Residential"	"50-59"	"54"	"No"	"41-45 mph"	"O: No Injury"	"White"	"Female"	"Sport Utility"	"No"	"No"	0	"Dusk"	"Mixed (30% To 70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"US Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	NA
"1828"	827	828	"Yes"	"20-24"	"22"	"No"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"Hispanic"	"Male"	"Charlotte"	"Mecklenburg"	"No"	"Thursday"	"11/06/2008 12:00:00 AM"	"Head-On"	8	"Intersection-Related"	"November"	"8:17"	"Head-On - Bicyclist"	212250	2008	"C: Possible Injury"	"Residential"	"0-19"	"16"	"No"	"31-35 mph"	"O: No Injury"	"Hispanic"	"Male"	"Passenger Car"	"No"	"Yes"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Clear"	"No"	NA
"1829"	828	829	"Yes"	"40-49"	"41"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Wake"	"No"	"Saturday"	"10/11/2008 12:00:00 AM"	"Motorist Right Turn / Merge"	10	"Intersection"	"October"	"10:31"	"Motorist Right Turn - Same Direction"	111213	2008	"B: Evident Injury"	"Residential"	"70+"	"70+"	"No"	"36-40 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Cloudy"	"No"	NA
"1830"	829	830	"Yes"	"40-49"	"45"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Hoke"	"No"	"Monday"	"10/13/2008 12:00:00 AM"	"Crossing Paths - Other Circumstances"	13	"Intersection"	"October"	"13:36"	"Signalized Intersection - Other /"	111158	2008	"C: Possible Injury"	"Commercial"	"50-59"	"53"	"No"	"11-15 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Mixed (30% To 70% Developed)"	NA	"4 lanes"	2	"Straight - Level"	"US Route"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"Stop And Go Signal"	"Clear"	"No"	NA
"1831"	830	831	"Yes"	"20-24"	"20"	"No"	"With Traffic"	"C: Possible Injury"	"Bike Lane / Paved Shoulder"	"Black"	"Male"	"None - Rural Crash"	"Halifax"	"No"	"Tuesday"	"10/07/2008 12:00:00 AM"	"Head-On"	19	"Non-Intersection"	"October"	"19:07"	"Head-On - Motorist"	321255	2008	"C: Possible Injury"	"Farms, Woods, Pastures"	NA	NA	NA	"41-45 mph"	"Injury"	NA	NA	NA	"No"	"Yes"	0	"Dusk"	"Rural (<30% Developed)"	NA	"2 lanes"	2	"Straight - Bottom"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	NA
"1832"	831	832	"Yes"	"25-29"	"29"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Hispanic"	"Female"	"Charlotte"	"Mecklenburg"	"No"	"Wednesday"	"11/05/2008 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	12	"Non-Intersection"	"November"	"12:28"	"Motorist Drive Out - Commercial Driveway / Alley"	332322	2008	"C: Possible Injury"	"Commercial"	"0-19"	"17"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	NA	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"5 - 15 MPH"	"No Control Present"	"Clear"	"No"	NA
"1833"	832	833	"No"	"50-59"	"57"	"No"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Jacksonville"	"Onslow"	"No"	"Sunday"	"10/26/2008 12:00:00 AM"	"Motorist Left Turn / Merge"	12	"Intersection"	"October"	"12:41"	"Motorist Left Turn - Same Direction"	112211	2008	"C: Possible Injury"	"Residential"	"30-39"	"35"	"No"	"21-25 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	0	"Daylight"	"Urban (>70% Developed)"	NA	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Coastal"	"Urban"	"20 - 25  MPH"	"Stop Sign"	"Clear"	"No"	NA
"1834"	833	834	"Yes"	"25-29"	"26"	"Yes"	"Facing Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Currituck"	"Yes"	"Thursday"	"10/16/2008 12:00:00 AM"	"Bicyclist Right Turn / Merge"	20	"Non-Intersection"	"October"	"20:43"	"Bicyclist Right Turn - Opposite Direction"	312224	2008	"B: Evident Injury"	"Farms, Woods, Pastures"	"20-24"	"21"	"No"	"51-55 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	0	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	NA	"5 lanes"	2	"Curve - Level"	"US Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	NA	"Clear"	"No"	NA
"1835"	834	835	"Yes"	"10-Jun"	"10"	"No"	"Not Applicable"	"B: Evident Injury"	"Non-Roadway"	"Other"	"Male"	"Cary"	"Wake"	"No"	"Saturday"	"11/01/2008 12:00:00 AM"	"Non-Roadway"	16	"Non-Roadway"	"November"	"16:50"	"Non-Roadway"	460910	2008	"B: Evident Injury"	"Residential"	NA	NA	NA	"11-15 mph"	"Injury"	NA	NA	"Pickup"	"No"	"Yes"	0	"Daylight"	"Urban (>70% Developed)"	NA	NA	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	"Two-Way, Not Divided"	"None"	"Driveway, Public"	"Smooth Asphalt"	"Piedmont"	"Urban"	"5 - 15 MPH"	"No Control Present"	"Clear"	"No"	NA
